Boro,Apartment,Story,Class,OrderNumber,CurrentStatus
BRONX,,4,B,509,VIOLATION DISMISSED
BRONX,2K,2,B,510,VIOLATION CLOSED
BRONX,2,1,B,501,NOV SENT OUT
BROOKLYN,1,1,C,1042,VIOLATION CLOSED
MANHATTAN,12A,12,B,568,VIOLATION CLOSED
BRONX,,Cellar,B,689,VIOLATION WILL BE REINSPECTED
BROOKLYN,4C,4,B,569,NOV SENT OUT
BRONX,,977,B,539,NOT COMPLIED WITH
MANHATTAN,4E,,A,506,VIOLATION CLOSED
BROOKLYN,F3,6,B,1502,VIOLATION CLOSED
MANHATTAN,32,3,B,508,VIOLATION CLOSED
BRONX,1D,1,B,522,NOV SENT OUT
BRONX,,0,A,564,NOT COMPLIED WITH
MANHATTAN,3E,3,B,568,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2A,2,B,510,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,5B,5,A,556,VIOLATION CLOSED
QUEENS,2F,2,C,616,DEFECT LETTER ISSUED
BROOKLYN,6A,6,B,508,VIOLATION CLOSED
BRONX,,-1,B,510,VIOLATION CLOSED
BROOKLYN,6A,6,B,507,VIOLATION CLOSED
BRONX,,-999,C,552,VIOLATION CLOSED
BRONX,D4,4,B,550,VIOLATION CLOSED
BROOKLYN,,0,A,561,VIOLATION CLOSED
MANHATTAN,3I,3,B,702,VIOLATION DISMISSED
BROOKLYN,TOPFL,2,B,868,VIOLATION CLOSED
BROOKLYN,B5,2,A,491,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2L,2,B,569,VIOLATION CLOSED
MANHATTAN,5J,5,B,1503,NOV CERTIFIED LATE
MANHATTAN,52,5,A,554,VIOLATION CLOSED
QUEENS,601,6,A,529,VIOLATION CLOSED
BRONX,,966,B,501,VIOLATION CLOSED
MANHATTAN,52,5,B,508,NOT COMPLIED WITH
BRONX,,1,A,484,VIOLATION CLOSED
MANHATTAN,3G,4,B,501,VIOLATION CLOSED
MANHATTAN,4,3,C,508,VIOLATION CLOSED
BRONX,W14,-1,B,569,VIOLATION CLOSED
BRONX,8,2,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,3,B,502,VIOLATION CLOSED
BROOKLYN,3L,3,B,506,VIOLATION CLOSED
BROOKLYN,1L,1,C,617,VIOLATION CLOSED
BRONX,3D,3,A,556,VIOLATION CLOSED
BROOKLYN,5D,5,A,556,VIOLATION CLOSED
MANHATTAN,4M,5,B,1503,VIOLATION CLOSED
MANHATTAN,24,2,B,501,VIOLATION CLOSED
QUEENS,2FL,2,B,802,NOT COMPLIED WITH
BRONX,1A,2,C,617,VIOLATION CLOSED
MANHATTAN,3I,3,B,1503,VIOLATION DISMISSED
BROOKLYN,,-2,A,502,VIOLATION DISMISSED
MANHATTAN,5C,5,C,742,NOV SENT OUT
MANHATTAN,,1,A,556,VIOLATION CLOSED
BRONX,3,1,A,596,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,6,2,A,556,NOT COMPLIED WITH
BRONX,3F,4,B,1502,VIOLATION CLOSED
MANHATTAN,23,2,C,790,VIOLATION CLOSED
BROOKLYN,2L,2,B,702,VIOLATION CLOSED
BRONX,4G,4,C,510,NOV SENT OUT
BRONX,1E,1,B,508,VIOLATION CLOSED
MANHATTAN,,1,C,501,VIOLATION CLOSED
BROOKLYN,C6,3,B,1503,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3,1,C,616,VIOLATION CLOSED
QUEENS,712,6,A,501,VIOLATION CLOSED
BRONX,3,1,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3D,3,B,508,VIOLATION CLOSED
BROOKLYN,D5,4,B,566,VIOLATION CLOSED
BRONX,2,2,B,808,NOV SENT OUT
BROOKLYN,2,2,B,702,NOV SENT OUT
BRONX,1C,1,B,702,VIOLATION CLOSED
MANHATTAN,3C,3,B,508,NOV SENT OUT
QUEENS,3B,3,B,702,VIOLATION CLOSED
BRONX,A2,1,B,568,VIOLATION CLOSED
BRONX,3F,4,B,502,VIOLATION CLOSED
BRONX,1E,5,B,570,VIOLATION CLOSED
BRONX,5D,5,B,502,VIOLATION CLOSED
STATEN ISLAND,3FL,3,B,702,VIOLATION CLOSED
BROOKLYN,3L,3,C,617,VIOLATION CLOSED
MANHATTAN,2,2,A,554,VIOLATION DISMISSED
BRONX,4I,4,B,501,VIOLATION CLOSED
BRONX,6K,6,B,501,NOV SENT OUT
MANHATTAN,5W,5,C,616,VIOLATION CLOSED
MANHATTAN,5C,5,B,526,VIOLATION CLOSED
QUEENS,5E,5,B,526,VIOLATION CLOSED
BROOKLYN,4B,2,B,508,VIOLATION DISMISSED
MANHATTAN,3A,4,B,508,VIOLATION CLOSED
BROOKLYN,,966,B,552,VIOLATION CLOSED
BROOKLYN,7D,4,B,593,NOV CERTIFIED LATE
MANHATTAN,7L,7,B,501,NOV SENT OUT
MANHATTAN,3C,3,B,530,INVALID CERTIFICATION
BROOKLYN,B6,2,B,530,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2D,2,B,569,NOT COMPLIED WITH
MANHATTAN,4D,4,B,702,NOV SENT OUT
BRONX,R22,2,C,742,VIOLATION CLOSED
BROOKLYN,4F,,C,555,VIOLATION CLOSED
BROOKLYN,2L,2,B,702,VIOLATION CLOSED
QUEENS,,999,A,508,VIOLATION CLOSED
BROOKLYN,,0,B,530,VIOLATION CLOSED
MANHATTAN,5,2,B,508,NOV SENT OUT
BROOKLYN,2R,2,B,568,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1I,1,A,502,VIOLATION CLOSED
BRONX,4B,4,C,742,VIOLATION CLOSED
MANHATTAN,,1,A,700,VIOLATION CLOSED
MANHATTAN,3B,3,B,702,VIOLATION CLOSED
BRONX,H,1,C,790,VIOLATION CLOSED
BROOKLYN,,-2,C,567,NOV CERTIFIED LATE
BRONX,5,3,B,569,NOV SENT OUT
BROOKLYN,C1,3,B,550,VIOLATION CLOSED
BRONX,,5,B,501,INVALID CERTIFICATION
BRONX,,966,A,722,VIOLATION CLOSED
BRONX,18,4,A,554,NOT COMPLIED WITH
MANHATTAN,,966,A,556,VIOLATION CLOSED
BROOKLYN,1L,1,B,506,VIOLATION CLOSED
BROOKLYN,,0,B,810,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,4A,4,B,583,VIOLATION CLOSED
BRONX,2A,2,A,556,VIOLATION CLOSED
BRONX,,5,B,539,NOV SENT OUT
BROOKLYN,3D,4,B,1503,VIOLATION CLOSED
BROOKLYN,,4,B,552,VIOLATION CLOSED
MANHATTAN,,1,C,505,VIOLATION CLOSED
BRONX,,5,B,505,VIOLATION CLOSED
BRONX,5A,5,B,688,VIOLATION CLOSED
MANHATTAN,52D,5,B,521,VIOLATION CLOSED
MANHATTAN,6J,6,C,505,VIOLATION CLOSED
BROOKLYN,401,4,B,530,NOV CERTIFIED LATE
BROOKLYN,3L,3,B,702,VIOLATION REOPEN
MANHATTAN,5D,4,B,508,VIOLATION CLOSED
BROOKLYN,7,,C,555,VIOLATION CLOSED
BROOKLYN,3L,3,B,530,VIOLATION CLOSED
BRONX,3G,3,B,502,VIOLATION DISMISSED
BROOKLYN,8,4,B,501,NOV SENT OUT
MANHATTAN,3,2,B,566,VIOLATION CLOSED
BRONX,2A,2,B,510,VIOLATION CLOSED
BROOKLYN,4H,4,B,502,VIOLATION CLOSED
MANHATTAN,,1,C,583,VIOLATION CLOSED
BRONX,4L,4,B,593,VIOLATION CLOSED
BRONX,3E,5,B,507,VIOLATION DISMISSED
BRONX,,1,A,778,VIOLATION CLOSED
BROOKLYN,F11,6,A,556,VIOLATION CLOSED
BROOKLYN,1G,1,B,522,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,1,A,484,VIOLATION CLOSED
BROOKLYN,2L,2,C,790,VIOLATION CLOSED
BRONX,88-1A,1,B,568,VIOLATION CLOSED
MANHATTAN,15,3,B,583,VIOLATION CLOSED
BRONX,88-1A,1,B,569,VIOLATION CLOSED
BRONX,1A,1,A,556,VIOLATION CLOSED
MANHATTAN,6B,,C,670,VIOLATION CLOSED
MANHATTAN,4E,,A,529,VIOLATION CLOSED
MANHATTAN,12F,12,B,508,VIOLATION CLOSED
MANHATTAN,4C,4,B,501,VIOLATION CLOSED
MANHATTAN,,1,B,502,VIOLATION CLOSED
BROOKLYN,2A,2,B,569,VIOLATION DISMISSED
BROOKLYN,4B,4,B,502,VIOLATION DISMISSED
BRONX,9,1,B,569,INVALID CERTIFICATION
MANHATTAN,4E,,A,501,VIOLATION CLOSED
BROOKLYN,6G,6,B,508,VIOLATION CLOSED
MANHATTAN,4C,4,B,510,VIOLATION CLOSED
QUEENS,4F,4,C,790,VIOLATION CLOSED
BROOKLYN,,966,B,502,VIOLATION CLOSED
BRONX,1B,1,B,689,VIOLATION CLOSED
BRONX,,,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,5E,5,B,1503,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,D2,4,A,508,VIOLATION CLOSED
BROOKLYN,2,2,B,502,VIOLATION CLOSED
BRONX,,1,B,505,NOV SENT OUT
BRONX,15,3,A,508,VIOLATION CLOSED
BROOKLYN,5F,5,C,583,VIOLATION CLOSED
BRONX,,977,B,539,VIOLATION CLOSED
BRONX,G,1,B,508,VIOLATION CLOSED
BRONX,,5,B,505,VIOLATION CLOSED
BROOKLYN,6N,6,B,507,VIOLATION CLOSED
BRONX,5B,2,A,554,FALSE CERTIFICATION
BROOKLYN,4A,4,B,702,VIOLATION CLOSED
BRONX,1C,1,C,666,VIOLATION CLOSED
MANHATTAN,,999,B,526,VIOLATION CLOSED
BRONX,2B,2,B,502,VIOLATION CLOSED
MANHATTAN,8C,,C,555,VIOLATION CLOSED
BROOKLYN,7D,4,B,568,VIOLATION CLOSED
BRONX,428,4,C,616,VIOLATION CLOSED
BROOKLYN,,-1,C,672,VIOLATION CLOSED
BROOKLYN,3B,,B,501,VIOLATION DISMISSED
BRONX,2,1,B,502,VIOLATION CLOSED
QUEENS,3L,3,B,501,VIOLATION CLOSED
BRONX,,3,C,505,VIOLATION CLOSED
BRONX,2A,2,B,502,VIOLATION CLOSED
BROOKLYN,,0,B,538,VIOLATION CLOSED
BRONX,5A,5,B,583,NOV SENT OUT
BRONX,3,2,B,509,NOV SENT OUT
BROOKLYN,2K,2,C,790,VIOLATION CLOSED
BRONX,3F,3,B,501,VIOLATION CLOSED
BRONX,5,3,B,583,VIOLATION CLOSED
BROOKLYN,F15,6,A,692,VIOLATION CLOSED
BRONX,3F,3,B,508,VIOLATION CLOSED
BROOKLYN,2B,2,B,502,VIOLATION DISMISSED
MANHATTAN,15,5,C,790,NOV SENT OUT
STATEN ISLAND,PH,1,B,802,VIOLATION CLOSED
MANHATTAN,5C,5,B,530,INVALID CERTIFICATION
BRONX,2C,4,A,554,VIOLATION CLOSED
BRONX,3D,4,B,508,NOV SENT OUT
BRONX,15,3,A,501,VIOLATION CLOSED
MANHATTAN,3I,3,B,508,VIOLATION DISMISSED
BRONX,,966,B,510,VIOLATION CLOSED
BROOKLYN,1F,1,C,617,VIOLATION CLOSED
BROOKLYN,D10,4,B,566,VIOLATION CLOSED
BRONX,F,1,B,501,NOV SENT OUT
BRONX,,0,C,672,NOT COMPLIED WITH
BROOKLYN,2,1,B,1503,VIOLATION CLOSED
BROOKLYN,TOPFL,2,B,805,VIOLATION CLOSED
BRONX,,966,A,722,VIOLATION CLOSED
BRONX,16B,16,B,508,NOV SENT OUT
BRONX,,3,B,509,VIOLATION CLOSED
MANHATTAN,2J,2,B,1503,VIOLATION CLOSED
BROOKLYN,2,1,A,733,VIOLATION CLOSED
BRONX,2A,2,C,617,NOV CERTIFIED LATE
BROOKLYN,D1,4,C,526,NOT COMPLIED WITH
BROOKLYN,2,2,B,808,CERTIFICATION POSTPONMENT DENIED
MANHATTAN,3B,3,C,790,NOV CERTIFIED ON TIME
BRONX,3D,3,A,556,VIOLATION CLOSED
BRONX,5B,5,B,510,VIOLATION CLOSED
BRONX,4G,4,B,568,VIOLATION CLOSED
BRONX,,1,B,504,VIOLATION CLOSED
BROOKLYN,1F,1,A,556,VIOLATION CLOSED
BRONX,4G,4,C,790,VIOLATION CLOSED
BRONX,4L,4,C,790,VIOLATION CLOSED
MANHATTAN,12A,4,A,506,VIOLATION CLOSED
STATEN ISLAND,2A,1,A,829,VIOLATION CLOSED
QUEENS,KK,-1,B,1502,VIOLATION CLOSED
MANHATTAN,3G,3,A,529,VIOLATION CLOSED
BRONX,3A,3,B,568,VIOLATION CLOSED
MANHATTAN,15,5,B,506,NOV SENT OUT
BROOKLYN,2,2,C,810,VIOLATION CLOSED
MANHATTAN,,-2,B,510,VIOLATION CLOSED
BROOKLYN,C5,2,B,508,NOT COMPLIED WITH
BROOKLYN,311,3,A,556,VIOLATION CLOSED
BRONX,1C,1,A,502,VIOLATION CLOSED
BRONX,1B,1,B,508,VIOLATION CLOSED
BRONX,2H,2,B,702,VIOLATION CLOSED
MANHATTAN,E,1,A,556,VIOLATION CLOSED
BROOKLYN,3C,3,B,501,VIOLATION CLOSED
BRONX,3F,4,A,529,VIOLATION CLOSED
BROOKLYN,2F,2,C,664,VIOLATION CLOSED
BROOKLYN,B3,2,A,554,VIOLATION REOPEN
MANHATTAN,614,6,C,505,VIOLATION CLOSED
BRONX,4L,4,C,583,VIOLATION CLOSED
BRONX,6D,6,B,507,VIOLATION CLOSED
BRONX,2A,2,B,508,VIOLATION CLOSED
BRONX,1A,1,B,649,VIOLATION CLOSED
MANHATTAN,,3,A,556,NOV SENT OUT
BROOKLYN,6B,6,B,507,VIOLATION CLOSED
BROOKLYN,2L,2,B,530,VIOLATION CLOSED
BRONX,3F,3,B,569,VIOLATION CLOSED
BROOKLYN,C4,3,C,583,VIOLATION CLOSED
BRONX,3H,3,A,556,NOV SENT OUT
BRONX,C36,3,A,583,VIOLATION CLOSED
QUEENS,5D,6,B,570,VIOLATION CLOSED
BRONX,D4,4,A,556,VIOLATION CLOSED
BROOKLYN,,4,B,502,NOV SENT OUT
MANHATTAN,3A,3,A,506,VIOLATION DISMISSED
MANHATTAN,5C,5,B,508,INVALID CERTIFICATION
BROOKLYN,2FL,2,B,1502,VIOLATION CLOSED
BRONX,4E,4,B,505,VIOLATION CLOSED
BROOKLYN,3,,A,508,VIOLATION CLOSED
QUEENS,2R,2,B,550,VIOLATION CLOSED
BRONX,B4,-1,B,510,VIOLATION CLOSED
BROOKLYN,,0,B,502,VIOLATION CLOSED
QUEENS,3L,3,B,508,VIOLATION CLOSED
BROOKLYN,A5,1,B,1502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
QUEENS,4A,4,C,510,NOV SENT OUT
MANHATTAN,,3,B,539,VIOLATION CLOSED
BRONX,2A,2,A,556,VIOLATION CLOSED
BRONX,C36,3,A,583,VIOLATION CLOSED
BRONX,,3,B,501,VIOLATION CLOSED
QUEENS,308,3,A,550,VIOLATION CLOSED
BROOKLYN,2B,2,B,583,NOV SENT OUT
STATEN ISLAND,2R,2,B,508,VIOLATION CLOSED
BROOKLYN,A9,1,B,583,NOV CERTIFIED LATE
BROOKLYN,,0,C,672,VIOLATION CLOSED
BRONX,4G,4,B,508,NOT COMPLIED WITH
BROOKLYN,D6,4,B,568,VIOLATION CLOSED
BRONX,3D,3,A,556,VIOLATION CLOSED
BRONX,18,4,B,702,VIOLATION CLOSED
BRONX,1G,2,C,583,VIOLATION CLOSED
BRONX,1K,1,B,506,VIOLATION CLOSED
BROOKLYN,1,1,B,550,VIOLATION CLOSED
BRONX,4G,4,B,689,VIOLATION CLOSED
BRONX,1C,1,B,508,NOT COMPLIED WITH
MANHATTAN,3D,4,C,664,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,12A,1,B,1502,NOV SENT OUT
BROOKLYN,1L,1,B,702,VIOLATION CLOSED
BROOKLYN,6L,6,B,508,VIOLATION CLOSED
BROOKLYN,2L,2,B,530,VIOLATION REOPEN
BRONX,5B,5,B,568,VIOLATION CLOSED
MANHATTAN,,-999,B,501,VIOLATION CLOSED
BRONX,,12,B,505,VIOLATION CLOSED
BROOKLYN,,6,B,502,NOT COMPLIED WITH
MANHATTAN,41,4,A,556,VIOLATION CLOSED
BRONX,4D,4,B,508,VIOLATION CLOSED
BRONX,5B,2,A,556,FALSE CERTIFICATION
BROOKLYN,,2,B,805,VIOLATION DISMISSED
BROOKLYN,3L,3,A,554,VIOLATION CLOSED
BROOKLYN,2A,2,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,5B,5,B,689,VIOLATION CLOSED
MANHATTAN,46,4,B,501,VIOLATION CLOSED
BRONX,1A,1,B,501,INVALID CERTIFICATION
BROOKLYN,5B,5,B,502,VIOLATION CLOSED
BRONX,C5,3,B,566,VIOLATION CLOSED
BRONX,2ND,1,C,883,VIOLATION CLOSED
BROOKLYN,C4,3,B,568,VIOLATION CLOSED
BRONX,,1,A,700,NOT COMPLIED WITH
STATEN ISLAND,13D,13,B,569,NOV CERTIFIED LATE
MANHATTAN,5,6,C,616,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1C,1,B,568,VIOLATION CLOSED
BROOKLYN,5D,5,B,508,VIOLATION CLOSED
BROOKLYN,D1,4,B,502,VIOLATION CLOSED
MANHATTAN,5,1,C,670,VIOLATION CLOSED
BROOKLYN,LJ4,3,A,556,VIOLATION CLOSED
MANHATTAN,5L,5,B,1503,NOV SENT OUT
MANHATTAN,,4,B,689,VIOLATION CLOSED
BRONX,6F,6,C,790,VIOLATION CLOSED
BROOKLYN,B8,2,B,508,VIOLATION CLOSED
BRONX,1K,1,C,508,VIOLATION DISMISSED
MANHATTAN,4L,5,B,508,VIOLATION CLOSED
BRONX,3FL,3,B,550,VIOLATION CLOSED
BROOKLYN,2FL,2,B,802,VIOLATION CLOSED
BRONX,1B,1,A,502,VIOLATION CLOSED
BRONX,4B,4,C,526,VIOLATION CLOSED
BRONX,2I,2,B,550,VIOLATION CLOSED
BROOKLYN,2L,2,B,583,VIOLATION CLOSED
BROOKLYN,3-B,3,B,510,VIOLATION DISMISSED
QUEENS,6A,5,B,508,NOV SENT OUT
BRONX,2,1,B,550,VIOLATION CLOSED
BRONX,4B,4,B,510,VIOLATION CLOSED
BRONX,4B,4,C,508,VIOLATION CLOSED
STATEN ISLAND,1,2,A,808,VIOLATION CLOSED
BROOKLYN,2R,2,B,506,NOT COMPLIED WITH
MANHATTAN,64,6,C,790,VIOLATION CLOSED
BROOKLYN,,3,B,525,VIOLATION CLOSED
BRONX,3F,3,B,502,VIOLATION CLOSED
MANHATTAN,4A,,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,1R,1,B,508,NOV SENT OUT
BROOKLYN,,0,A,561,VIOLATION CLOSED
MANHATTAN,,2,A,556,VIOLATION CLOSED
BROOKLYN,,,B,768,VIOLATION REOPEN
BROOKLYN,3,2,B,577,VIOLATION CLOSED
QUEENS,KK,-1,B,502,VIOLATION CLOSED
BROOKLYN,B9,2,B,569,VIOLATION CLOSED
BRONX,1A,1,B,702,VIOLATION CLOSED
BROOKLYN,2FL,2,B,868,VIOLATION CLOSED
MANHATTAN,17,5,A,556,NOT COMPLIED WITH
BROOKLYN,B22,4,B,1502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,1,C,671,VIOLATION DISMISSED
BROOKLYN,,977,B,513,VIOLATION CLOSED
BROOKLYN,2FLR,2,C,807,VIOLATION CLOSED
QUEENS,2B,1,B,1502,NOV SENT OUT
BROOKLYN,,-2,A,509,NOT COMPLIED WITH
BROOKLYN,2L,2,A,690,VIOLATION CLOSED
MANHATTAN,,1,A,700,VIOLATION CLOSED
MANHATTAN,E,1,A,508,VIOLATION CLOSED
MANHATTAN,3,2,B,570,VIOLATION CLOSED
BROOKLYN,2FL,-999,B,805,VIOLATION CLOSED
BRONX,2F,2,A,529,NOT COMPLIED WITH
QUEENS,5R,5,B,501,NOV SENT OUT
BROOKLYN,2R,2,C,579,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1A,1,A,556,VIOLATION CLOSED
MANHATTAN,64,6,B,506,VIOLATION CLOSED
BROOKLYN,2L,2,B,1503,VIOLATION CLOSED
BRONX,1G,1,B,649,VIOLATION CLOSED
BRONX,5B,2,C,790,VIOLATION DISMISSED
BROOKLYN,2,1,B,801,VIOLATION CLOSED
MANHATTAN,34,,A,491,NOV SENT OUT
BROOKLYN,3R,3,C,616,VIOLATION CLOSED
STATEN ISLAND,PH,3,B,805,NOV SENT OUT
BRONX,2E,2,C,616,VIOLATION CLOSED
BROOKLYN,D5,4,B,530,NOT COMPLIED WITH
MANHATTAN,135,3,A,508,NOV SENT OUT
STATEN ISLAND,2R,2,C,505,VIOLATION CLOSED
MANHATTAN,5,3,B,566,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1M,1,A,556,VIOLATION DISMISSED
BRONX,3,1,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3A,3,B,569,VIOLATION CLOSED
BRONX,4L,4,B,569,VIOLATION DISMISSED
BROOKLYN,4A,4,C,501,VIOLATION CLOSED
MANHATTAN,4J,5,B,501,NOT COMPLIED WITH
BROOKLYN,A11,1,B,583,VIOLATION CLOSED
BROOKLYN,2B,2,B,501,NOV SENT OUT
BRONX,,0,B,526,VIOLATION CLOSED
BROOKLYN,B4,2,B,1502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,5A,2,B,508,VIOLATION CLOSED
BRONX,B30,5,A,556,VIOLATION CLOSED
STATEN ISLAND,2R,2,A,556,VIOLATION CLOSED
BRONX,3A,3,B,508,VIOLATION CLOSED
BROOKLYN,2FL,2,B,808,VIOLATION CLOSED
BRONX,1A,1,B,501,INVALID CERTIFICATION
BROOKLYN,2,2,B,502,VIOLATION CLOSED
BROOKLYN,1,1,B,869,VIOLATION CLOSED
MANHATTAN,52,5,C,790,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,5H,5,B,702,VIOLATION CLOSED
BROOKLYN,1R,,A,491,VIOLATION CLOSED
MANHATTAN,1D,1,B,1503,VIOLATION CLOSED
BRONX,2C,2,B,508,VIOLATION CLOSED
BROOKLYN,C3,3,B,583,VIOLATION CLOSED
BROOKLYN,E15,5,C,616,VIOLATION CLOSED
BROOKLYN,B2,2,B,568,INVALID CERTIFICATION
MANHATTAN,41,4,A,501,NOV SENT OUT
BROOKLYN,2FL,2,B,808,NOV SENT OUT
BROOKLYN,1C,1,B,508,VIOLATION DISMISSED
BRONX,2C,4,B,550,VIOLATION CLOSED
BRONX,2,1,B,506,VIOLATION CLOSED
BRONX,,1,C,671,VIOLATION CLOSED
BROOKLYN,F5,6,C,670,VIOLATION CLOSED
MANHATTAN,,-999,A,509,VIOLATION CLOSED
BRONX,E5,5,B,569,VIOLATION CLOSED
BRONX,2,2,B,502,VIOLATION CLOSED
STATEN ISLAND,1,1,B,801,NOV SENT OUT
MANHATTAN,2FW,2,B,510,VIOLATION CLOSED
BRONX,2E,2,B,1502,VIOLATION CLOSED
MANHATTAN,54D,,C,526,VIOLATION CLOSED
BRONX,2A,2,C,616,VIOLATION CLOSED
MANHATTAN,3K,3,B,570,VIOLATION CLOSED
BRONX,8M,8,B,598,VIOLATION CLOSED
BRONX,2D,4,B,1503,VIOLATION CLOSED
QUEENS,4J,4,C,550,NOV SENT OUT
BROOKLYN,4B,4,B,521,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,46,4,A,556,VIOLATION CLOSED
BRONX,1A,1,C,583,VIOLATION CLOSED
BROOKLYN,2FL,2,B,810,VIOLATION CLOSED
BROOKLYN,E3,5,C,617,VIOLATION CLOSED
BRONX,Z1,1,B,508,VIOLATION CLOSED
MANHATTAN,,1,B,505,VIOLATION CLOSED
MANHATTAN,44,4,C,526,VIOLATION CLOSED
MANHATTAN,5W,5,C,617,VIOLATION CLOSED
MANHATTAN,1S,1,B,1502,NOV SENT OUT
BROOKLYN,2,2,B,808,VIOLATION CLOSED
QUEENS,,966,B,501,INVALID CERTIFICATION
QUEENS,3B,3,B,501,VIOLATION CLOSED
MANHATTAN,,4,C,502,VIOLATION CLOSED
QUEENS,3D,3,B,702,VIOLATION DISMISSED
QUEENS,,999,B,506,VIOLATION CLOSED
BRONX,1E,5,B,702,VIOLATION CLOSED
BROOKLYN,B22,2,C,666,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,1L,1,B,501,NOT COMPLIED WITH
BROOKLYN,2,1,B,802,VIOLATION CLOSED
MANHATTAN,5B,5,B,501,VIOLATION CLOSED
QUEENS,109,1,B,501,NOV SENT OUT
BRONX,1C,1,A,529,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,-2,C,689,VIOLATION CLOSED
BROOKLYN,1F,1,C,742,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,F15,6,A,508,VIOLATION CLOSED
BRONX,,2,B,501,VIOLATION CLOSED
QUEENS,1M,1,B,550,NOV SENT OUT
BROOKLYN,A7,1,A,556,VIOLATION CLOSED
BROOKLYN,4H,4,B,505,VIOLATION CLOSED
BROOKLYN,1A,1,A,556,VIOLATION CLOSED
BROOKLYN,,4,B,551,VIOLATION CLOSED
